Pipeline,Hardware,Build,Platform,OS,buildinfo.project,buildinfo.type,concurrency,buildinfo.time,Ignore?,Machine,datetime,buildinfo.command.0,buildinfo.command.1,VM type,storage,environment.release,environment.initial_cpu.physical_cores,environment.initial_cpu.total_cores,environment.initial_cpu.frequency,environment.initial_memory.total
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,2048withPython,Swift,0,5.645,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,2048withPython,Swift,0,6.186,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,2048withPython,Swift,0,5.728,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,2048withPython,Swift,0,5.63,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,2048withPython,Swift,0,6.048,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,2048withPython,Swift,0,5.733,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,2048withPython,Swift,0,5.364,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,2048withPython,Swift,0,5.875,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,2048withPython,Swift,0,5.51,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,11,Orka,Catalina,2048withPython,Swift,0,2048,,macpro-5,SatMay30071458PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,2048withPython,Swift,0,6.315,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,2048withPython,Swift,0,5.561,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,2048withPython,Swift,0,5.651,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,2048withPython,Swift,0,5.607,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,2048withPython,Swift,0,6.036,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,2048withPython,Swift,0,5.858,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,2048withPython,Swift,0,5.531,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,2048withPython,Swift,0,5.88,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,2048withPython,Swift,0,5.471,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,11,Orka,Catalina,2048withPython,Swift,0,2048,,macpro-6,SatMay30071825PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,audiokit_ioswithPython,Swift,0,158.606,,macpro-5,SatMay30130204PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
